"URL","ASIN","Title","Brand","Fulfillment","Category","BSR","Subcategory","Price","Price Trend (90 days) (%)","Monthly Sales","Sales Trend (90 days) (%)","Monthly Revenue","Review Count","Reviews Rating","Seller","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Size Tier","Length","Width","Height","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Age (Month)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.com/dp/B0BK1Z551X","B0BK1Z551X","Juicy Couture Twin Size Satin Bed Sheet Set, Deep Pocket Satin Twin Sheet Set with 1 Fitted Sheet, 1 Flat Sheet and 1 Pillow Case, Wrinkle Resistant and Anti Pilling - Emerald Green","Juicy Couture","Amazon","Home & Kitchen",101880,"Sheet & Pillowcase Sets",31.67,5,152,-28,4813.84,407,4.2,"Amazon",1,"N/A","N/A","Large Standard-Size",2.6,10.43,13.62,2.18,"N/A","N/A","07/01/2023",15,7,48,0.37
"https://amazon.com/dp/B0BF55H92H","B0BF55H92H","Rechargeable Wall Sconce Magnetic Wireless Lamp RGB Colors Dimmable with Fabric Linen Shade and Remote, Lighting Decor Set of 2 for Bedroom Living Room Hallway","Lenarinter","FBA","Tools & Home Improvement",32809,"Wall Lamps & Sconces",34.99,4,229,47,8012.71,329,4,"Lrlite-Lights",1,"N/A","N/A","Large Standard-Size",2.95,7.36,10.51,1.98,91.25,317.38,"03/01/2023",14,7,4,0.7
"https://amazon.com/dp/B0BL4MGGTJ","B0BL4MGGTJ","Roninby 35 Water Panel Humidifier Filter Replacement Compatible with Aprilaire 35 350, 360, 560, 560A, 568, 600, 700, 760, 760A, 768; Honeywell HC26P 260A, 260B, 265A, 265B, 360A, 360B 3 Pack","Roninby","FBA","Tools & Home Improvement",40433,"Replacement Wicks",35.99,-11,263,-1,9465.37,60,3.9,"Roninby",1,"N/A","N/A","Large Standard-Size",5.39,10.43,13.03,1.06,292.5,1017.38,"12/01/2023",14,7,2,4.38
"https://amazon.com/dp/B0BGC6YRD5","B0BGC6YRD5","Feadily 4PCS Small Drawer Organizer for Desk, Desktop Drawer Organizer with 9 Clear Drawers, Plastic Desktop Storage Drawers 7.1"" x 3 .9"" x 4.7"", White","Feadily","FBA","Office Products",9883,"Drawer Organizers",26.99,"N/A",533,,14385.67,222,4.2,"Feadily",1,"N/A","N/A","Large Standard-Size",7.2,7.7,9.5,2.5,210.31,731.5,"-",15,7,6,2.46
"https://amazon.com/dp/B0BCTHF7D4","B0BCTHF7D4","Dog Tuxedo, Formal Dog Clothes Shirt Costume Wedding Attire Party Bow Tie Suit, Dog Outfit for Small Medium Large Dogs Cats, Halloween Pet Costumes Birthday Puppy Clothing Christmas Apparel (XXL)","Qidelong","FBA","Pet Supplies",20843,"Costumes",16.99,-1,360,-43,6116.4,149,4.2,"Quanzhou Ruying Trading Co., Ltd.",1,4749,"N/A","Large Standard-Size",1.5,5.79,7.13,0.4,24.73,86.01,"12/01/2023",16,7,6,2.42
"https://amazon.com/dp/B0BL41V4SQ","B0BL41V4SQ","HCS Stethoscope, Classic Lightweight - Blue Stethoscopes for Nurses, Students, Home - 22 inch Tubing, Estetoscopio - Dual Head Stethoscope","HCS MEDICAL SOLUTIONS","FBA","Industrial & Scientific",10569,"Stethoscopes",19.99,"N/A",273,-18,5457.27,98,3.7,"LD Medical Supply",2,2786,"N/A","Large Standard-Size",1.54,4.69,9.76,0.51,28.15,97.91,"09/01/2023",14,8,3,2.79
"https://amazon.com/dp/B0BKG9C3B8","B0BKG9C3B8","FIPASEN Reptile Heating Mat, 2PCS Reptile Heating Pad with Temperature Adjustment for Reptiles Tortoise Snakes Lizard Gecko Hermit Crab Amphibians - Removable Terrarium Heat Mats(20W,11x16.5 inches)","FIPASEN","FBA","Pet Supplies",22551,"Heat Mats",23.99,"N/A",227,17,5445.73,104,4.2,"Pasen-US",1,2153,"N/A","Large Standard-Size",1.5,12.68,17.13,0.73,130.1,452.52,"01/01/2024",14,9,3,2.18
"https://amazon.com/dp/B0BJD5VVXS","B0BJD5VVXS","MaraFansie Grid Storage Basket, Cabinet Door Organizer, Wall Hanging Basket with Hook Over the Cabinet/Railing, Under Sink Kitchen Cabinet, Pantry, Bathroom, Small, Black, 4 Pack","MaraFansie","FBA","Kitchen & Dining",51321,"Hanging Baskets",24.99,-32,214,71,5347.86,213,4.2,"MaraFansie",1,2581,"N/A","Large Standard-Size",5.31,8.27,11.57,2.74,203.1,706.43,"01/01/2023",14,8,4,1.02
"https://amazon.com/dp/B0BJTFC5N4","B0BJTFC5N4","Large Storage Bins with Lids, Stackable Storage Containers for Clothes，Foldable Storage Boxes for Organizing, Closet Organizer for Sheet, Fabric Storage Cubes for Blanket Storage, Comforter, 2Pack-52L","boailydi","FBA","Home & Kitchen",78762,"Lidded Storage Bins",22.99,-17,236,,5425.64,101,4.2,"HuBaiKeJi",1,"N/A","N/A","Large Standard-Size",4.17,11.73,14.09,3.97,275.2,957.22,"01/01/2024",14,7,5,2.34
"https://amazon.com/dp/B0BPZZPS3F","B0BPZZPS3F","Lexi Home Tri-ply 10"" Stainless Steel Scratch Resistant Nonstick Frying Pan","Lexi Home","FBM","Kitchen & Dining",34451,"Skillets",48.99,"N/A",188,60,9118,215,4.2,"MartiInc",3,779,"N/A","Small Oversize",3.86,12.6,19.09,3.04,"N/A","N/A","11/01/2023",14,6,7,0.87
"https://amazon.com/dp/B0B6FZ5MG7","B0B6FZ5MG7","FONIRRA High Visibility Safety Sweatshirts for Men with Detachable Hood ANSI Class 3 Reflective Hi Vis Work Fleece Hoodie(Orange,3XL)","FONIRRA","FBA","Tools & Home Improvement",68935,"Jackets",49.99,-18,232,-11,11597.68,114,4.1,"UNITED STASTES INC",1,1664,"N/A","Large Standard-Size",4.06,13.78,15.75,1.57,351.37,1222.17,"01/01/2024",17,7,32,2.04
"https://amazon.com/dp/B0BHQW9YXV","B0BHQW9YXV","Vgo... 1Pair 0℃/32°F Winter Cow Leather Work Gloves, Cold Weather Waterproof Safety Work Gloves,Cold Storage or Freezer Use(Size M,Blue,CA9790FLWP)","Vgo...","FBA","Tools & Home Improvement",93807,"Safety Work Gloves",27.98,"N/A",235,-76,6575.3,266,4.1,"Vgo Glove",1,2828,"N/A","Large Standard-Size",1.97,5.43,10.24,0.31,43.74,152.14,"12/01/2022",14,6,17,0.88
"https://amazon.com/dp/B0BNVKNPYL","B0BNVKNPYL","Fumete 2 Pcs Decorative Pillows 14 x 14 Inch Throw Knot Pillow for Couch Bedroom Soft Plush Sofa Pillow Ball Handmade Chair Cushion for Living Room Car Decorations (Gray)","Fumete","FBA","Home & Kitchen",50374,"Throw Pillows",36.99,"N/A",222,48,8211.78,140,4.2,"QiaooUKpcco",1,"N/A","N/A","Large Standard-Size",5.24,9.72,11.85,2.58,241,838.27,"08/01/2023",14,7,9,1.59
"https://amazon.com/dp/B09Y7ZNTJC","B09Y7ZNTJC","Reli. Plastic Squeeze Bottles, 32 oz. | 8 Pack | Condiment Squeeze Bottles for Sauces | Clear w/Tethered Caps | 32 Ounce Hot Sauce, Ketchup Bottles | Squirt Bottles for Condiments, Olive Oil, Liquids","Reli.","FBA","Kitchen & Dining",29732,"Condiment Squeeze Bottles",24.99,"N/A",268,1278,6697.32,108,4,"Reli.",1,3077,"N/A","Large Standard-Size",6.06,12.09,12.36,1.5,361.6,1257.72,"04/01/2023",22,6,0,2.48
